collected_funds,campaign_quality,goal,images,video,comments_count,updates_count,creators,business_venture,social,pitch_size,filler_words,duration,reach30in2,posemo,negemo,time
3313,9,3000,24,1,6,6,3,1,0,1027,0.1,3.29583686600433,TRUE,3.89,0.39,1304
720,6,3200,8,0,2,0,2,1,0,732,0,3.04452243772342,FALSE,3.69,2.05,1346
1052,3,1000,0,0,9,0,4,0,1,396,0,3.3322045101752,FALSE,4.8,0,985
2376,4,11400,1,0,9,4,3,1,0,594,0,3.61091791264422,FALSE,6.06,1.52,839
2775,9,3000,4,1,2,10,3,1,0,351,0,3.09104245335832,TRUE,3.7,0,1358
10350,6,10000,0,1,18,0,2,1,0,702,0,4.78749174278205,FALSE,4.27,0.28,761
3060,9,3000,8,1,1,0,2,1,0,750,0,3.2188758248682,FALSE,2.67,0.13,1337
6176,6,5000,7,0,3,34,4,1,0,517,0,4.49980967033027,FALSE,3.68,1.93,730
1435,0,3500,0,0,4,0,1,0,1,274,0,3.2188758248682,FALSE,3.28,0.73,1232
2192,7,2000,2,1,8,5,1,0,0,506,0,4.29045944114839,FALSE,4.74,0.2,930
10416,3,10000,0,0,45,0,2,1,0,347,0,4.17438726989564,FALSE,4.03,1.44,939
5119,5,5000,0,1,28,0,2,1,0,183,0,4.17438726989564,FALSE,4.37,0,952
3739,1,3000,1,0,10,0,1,0,1,660,0,4.58496747867057,FALSE,2.73,0.45,1271
3500,7,3500,1,1,20,4,1,1,0,382,0,3.43398720448515,FALSE,5.24,2.36,974
1500,0,1500,0,0,11,5,1,0,1,482,0,3.97029191355212,FALSE,3.53,1.66,1191
2765,9,5000,22,1,7,10,2,0,0,479,0,3.55534806148941,FALSE,9.81,0.21,1337
9835,9,9000,9,1,62,5,2,0,0,620,0,3.68887945411394,FALSE,9.03,0,826
2140,5,5000,2,0,17,2,1,1,0,730,0,3.80666248977032,FALSE,5.48,0.14,1048
2060,9,5000,4,1,10,6,7,1,0,1210,0,3.68887945411394,FALSE,4.05,0.83,963
